,0
100,1.3
200,1.5
300,1.3
400,1.2
500,2.1
600,1.4
700,1.8
800,1.4
900,1.5
1000,1.7
1100,2.4
1200,1.6
1300,1.5
1400,1.7
1500,2.0
1600,2.1
1700,1.9
1800,1.6
1900,1.6
2000,1.6
2100,1.3
2200,1.9
2300,2.6
2400,8.11111111111111
2500,3.2
2600,2.4
2700,2.4
2800,1.7
2900,1.9
3000,2.0
3100,2.0
3200,2.4
3300,2.5
3400,1.9
3500,2.7
3600,2.6
3700,4.1
3800,1.8
3900,3.3
4000,2.4
4100,2.0
4200,4.0
4300,1.7
4400,2.1
4500,2.6
4600,3.1
4700,4.1
4800,2.5
4900,4.6
5000,3.5
5100,2.0
5200,3.3
5300,3.2
5400,3.2
5500,3.8
5600,2.3
5700,5.4
5800,3.3
5900,3.7
6000,3.2
6100,3.4
6200,3.7
6300,5.7
6400,3.4
6500,4.1
6600,3.1
6700,4.9
6800,2.7
6900,3.8
7000,3.4
7100,2.3
7200,4.7
7300,3.7
7400,2.8
7500,4.3
7600,4.7
7700,5.0
7800,3.5
7900,2.3
8000,3.2
8100,3.8
8200,5.6
8300,3.7
8400,3.2
8500,3.1
8600,6.8
8700,4.5
8800,3.6
8900,4.4
9000,4.4
9100,3.4
9200,3.9
9300,3.4
9400,3.8
9500,3.5
9600,5.2
9700,4.0
9800,7.7
9900,6.4
10000,2.3
10100,4.5
10200,2.6
10300,3.9
10400,4.5
10500,3.6
10600,4.3
10700,3.6
10800,6.7
10900,3.3
11000,5.0
11100,5.2
11200,7.6
11300,4.6
11400,2.5
11500,7.3
11600,4.9
11700,6.6
11800,9.1
11900,6.4
12000,6.0
12100,5.7
12200,5.6
12300,3.8
12400,3.7
12500,7.1
12600,7.8
12700,4.3
12800,8.3
