,0
100,3.7
200,10.2
300,15.1
400,21.3
500,25.8
600,33.1
700,39.2
800,46.4
900,53.1
1000,61.4
1100,66.2
1200,78.6
1300,79.3
1400,88.7
1500,103.6
1600,108.3
1700,114.6
1800,124.4
1900,131.4
2000,134.3
2100,147.9
2200,156.4
2300,161.9
2400,173.33333333333334
2500,175.1
2600,188.5
2700,196.9
2800,203.9
2900,216.9
3000,221.6
3100,222.2
3200,241.2
3300,278.2
3400,261.2
3500,284.1
3600,298.4
3700,308.3
3800,320.4
3900,331.5
4000,346.7
4100,378.8
4200,352.9
4300,351.6
4400,364.7
4500,370.2
4600,370.9
4700,384.7
4800,445.7
4900,400.5
5000,422.9
5100,407.4
5200,427.8
5300,431.8
5400,428.8
5500,469.6
5600,466.9
5700,457.1
5800,459.1
5900,486.0
6000,532.8
6100,558.2
6200,562.1
6300,545.5
6400,571.7
6500,598.9
6600,636.4
6700,588.9
6800,650.5
6900,641.5
7000,675.3
7100,639.2
7200,670.2
7300,658.8
7400,663.9
7500,670.3
7600,659.6
7700,687.6
7800,685.7
7900,726.4
8000,757.5
8100,712.4
8200,751.4
8300,746.6
8400,763.3
8500,786.3
8600,777.4
8700,808.5
8800,805.0
8900,873.1
9000,848.4
9100,835.7
9200,854.9
9300,1069.4
9400,855.5
9500,856.2
9600,867.7
9700,901.8
9800,921.5
9900,949.5
10000,927.5
10100,969.4
10200,927.6
10300,969.7
10400,1002.5
10500,1013.3
10600,1031.6
10700,1152.8
10800,1089.9
10900,1052.2
11000,1405.2
11100,1072.8
11200,1141.5
11300,1216.7
11400,1161.7
11500,1129.6
11600,1167.3
11700,1804.0
11800,1466.4
11900,1474.3
12000,1457.5
12100,1474.2
12200,1764.6
12300,1634.4
12400,1730.4
12500,1762.7
12600,1653.4
12700,1831.7
12800,1553.7
