,0,1,2,3
500,35.6,35.1,40.5,40.0
1000,92.2,88.7,79.6,81.3
1500,141.4,131.7,128.4,141.5
2000,213.9,187.1,201.5,205.5
2500,278.2,241.4,216.3,233.1
3000,309.7,274.5,280.8,279.3
3500,313.2,313.1,332.9,336.7
4000,376.0,361.2,382.6,379.5
4500,445.3,402.8,399.6,439.2
5000,466.3,494.0,500.9,495.2
5500,558.9,538.4,548.7,560.3
6000,631.0,635.5,642.8,653.5
6500,699.0,685.1,686.9,683.7
7000,739.1,746.3,748.6,743.3
7500,788.0,799.1,815.5,819.7
8000,886.9,899.4,887.5,885.9
8500,929.7,951.8,944.7,958.9
9000,1015.8,993.0,1039.7,1064.6
9500,1088.4,1112.4,1088.1,1092.9
10000,1169.8,1163.1,1170.8,1117.9
