,0,1,2,3
500,27.35,32.0,33.95,32.85
1000,69.1,77.35,76.85,76.15
1500,113.15,128.25,123.9,115.5
2000,162.45,177.05,172.3,174.55
2500,208.65,225.85,226.5,225.5
3000,256.6,278.6,279.8,278.8
3500,300.5,340.2,335.05,339.2
4000,368.2,397.5,395.35,397.45
4500,415.15,460.0,462.1,457.3
5000,472.6,515.85,512.75,521.05
5500,537.35,578.7,582.95,574.8
6000,578.9,640.9,637.65,635.85
6500,672.15,699.25,700.25,698.45
7000,739.05,881.45,798.05,767.05
7500,783.35,801.8,744.0,775.85
8000,899.3,945.8,917.0,892.75
8500,807.35,933.3,905.85,919.8
9000,1002.35,1047.95,897.05,875.85
9500,914.25,941.55,938.3,946.9
10000,929.9,998.25,1082.9,1056.25
