,0,1,2,3
500,38.888888888888886,17.6,4.8,1.7
1000,19.5,17.7,2.4,1.4
1500,44.142857142857146,24.11111111111111,2.9,1.7
2000,48.0,27.1,3.8,1.4
2500,51.5,22.7,2.9,2.3
3000,45.0,18.444444444444443,2.7,1.8
3500,54.0,28.9,3.2,1.6
4000,23.2,7.6,2.8,2.5
4500,63.2,25.0,4.2,1.7
5000,51.333333333333336,54.666666666666664,2.7,2.1
5500,44.5,27.9,2.6,1.4
6000,59.666666666666664,24.333333333333332,2.1,1.5
6500,35.0,42.625,3.6,2.0
7000,54.6,34.666666666666664,3.5,1.4
7500,32.0,29.428571428571427,2.4,2.5
8000,3.0,53.75,2.3,2.8
8500,36.0,41.75,2.6,1.8
9000,49.0,33.75,2.8,2.7
9500,96.0,56.833333333333336,3.8,1.7
10000,30.0,49.75,2.3,3.3
