,0,1,2,3
500,13.11111111111111,22.2,21.0,24.7
1000,30.75,35.7,50.9,55.6
1500,83.42857142857143,74.22222222222223,80.0,92.6
2000,85.0,119.4,104.7,131.7
2500,77.5,189.0,141.1,166.1
3000,226.5,231.55555555555554,197.2,198.9
3500,200.5,284.4,210.3,239.8
4000,418.0,540.1,238.1,293.2
4500,445.0,358.25,284.9,313.1
5000,791.0,439.22222222222223,308.1,387.5
5500,541.0,305.3,346.8,402.3
6000,927.3333333333334,556.2222222222222,407.5,447.6
6500,553.0,451.875,448.1,505.7
7000,1762.8,589.8888888888889,524.0,543.5
7500,753.0,973.7142857142857,544.1,611.8
8000,226.0,707.5,581.0,668.4
8500,1033.0,858.25,780.5,829.2
9000,1579.0,941.75,648.9,763.0
9500,3513.0,1984.3333333333333,1230.7,1317.3
10000,638.5,2771.375,944.9,1117.3
