,0,1,2
4000,7.4,4.18,2.9
4200,8.5,3.74,4.18
4400,12.306122448979592,3.96,3.48
4600,10.979591836734693,5.06,3.02
4800,8.9,3.4,2.7
5000,10.1875,5.2,3.56
5200,10.714285714285714,3.92,3.4
5400,9.857142857142858,4.78,2.84
5600,10.142857142857142,3.98,2.8
5800,12.46938775510204,3.94,2.66
6000,13.68,4.86,3.6
6200,11.583333333333334,5.54,2.72
6400,9.75,4.6,2.42
6600,11.73469387755102,5.14,2.9
6800,12.5,5.3,3.66
7000,11.26,5.42,2.98
7200,12.375,6.18,3.64
7400,12.0625,4.52,2.92
7600,10.673469387755102,6.38,2.88
7800,10.551020408163266,4.38,3.86
8000,10.387755102040817,5.68,2.86
8200,11.244897959183673,5.66,3.18
8400,12.479166666666666,5.24,3.52
8600,14.425531914893616,4.94,3.52
8800,13.977777777777778,7.14,4.52
9000,17.583333333333332,5.408163265306122,3.18
