,0,1,2
4000,309.98,304.6,324.4
4200,350.34,268.2,268.74
4400,288.0816326530612,271.86,288.28
4600,319.3061224489796,293.16,294.98
4800,369.8,315.08,312.64
5000,331.7083333333333,380.66,371.46
5200,381.38775510204084,358.7,348.42
5400,427.2040816326531,423.06,439.08
5600,405.7551020408163,379.02,370.2
5800,426.3061224489796,387.46,362.26
6000,439.96,420.94,400.68
6200,466.9166666666667,432.5,416.4
6400,476.3541666666667,417.86,439.74
6600,494.44897959183675,452.44,453.56
6800,533.5,499.42,461.32
7000,558.42,517.12,561.28
7200,669.1666666666666,640.12,562.46
7400,608.5625,555.28,578.08
7600,693.2448979591836,589.0,561.64
7800,739.4489795918367,598.42,638.42
8000,662.0612244897959,634.44,583.46
8200,656.0816326530612,688.74,602.08
8400,721.5208333333334,640.82,620.18
8600,794.9574468085107,676.4,604.44
8800,791.7777777777778,699.28,677.68
9000,831.5208333333334,710.9795918367347,686.16
