,0,1,2
500,19.4,22.9,27.5
1000,56.4,53.7,60.9
1500,83.55555555555556,89.9,91.8
2000,111.3,120.7,133.7
2500,150.4,154.7,176.8
3000,239.7,185.0,215.2
3500,262.1666666666667,232.9,258.7
4000,377.3333333333333,254.4,303.4
4500,358.75,306.4,341.5
5000,563.25,337.7,392.1
5500,894.5714285714286,461.3,509.5
6000,644.625,563.5,499.9
6500,572.3333333333334,503.9,549.9
7000,1081.111111111111,553.8,589.8
7500,881.7142857142857,604.1,597.5
8000,1375.0,633.6,663.5
8500,1156.5555555555557,683.6,750.5
9000,935.8333333333334,688.2,801.4
9500,1635.8,752.0,844.5
10000,1881.0,852.3,896.7
